Supplementary Table 4. List of genes with pathogenic variant frequencies in single-cancer types compared to controls																			
																			
Gene Symbol	Ensenbl ID	Gene set	Inheritance	Histology	Case-control (PTVs)					Case-control (ClinVar pathogenic variants)					Case-control (PTVs + ClinVar pathogenic variants)				
SLC6A19	ENSG00000174358	OMIM	AR	Lymph-BNHL	-	-	-	-	-	0.00	0.16	0.76	0.633	0.650	0.00	0.20	0.49	0.752	0.760
SLC7A9	ENSG00000021488	OMIM	ADAR	Lymph-BNHL	-	-	-	-	-	0.00	0.20	0.49	0.752	0.761	0.00	0.20	0.49	0.752	0.760
SPG7	ENSG00000197912	OMIM	ADAR	Lymph-BNHL	-	-	-	-	-	0.00	0.16	0.76	0.633	0.650	0.00	0.16	0.76	0.633	0.646
SPTA1	ENSG00000163554	OMIM	AR	Lymph-BNHL	-	-	-	-	-	0.00	0.20	0.49	0.752	0.761	0.00	0.20	0.49	0.752	0.760
SRD5A3	ENSG00000128039	OMIM	AR	Lymph-BNHL	0.93	0.08	2.51	0.058	0.097	-	-	-	-	-	0.93	0.08	2.51	0.058	0.097
SRGAP1	ENSG00000196935	OMIM	AD	Lymph-BNHL	-	-	-	-	-	0.93	0.12	2.10	0.096	0.159	0.93	0.12	2.10	0.096	0.159
TBXAS1	ENSG00000059377	OMIM	ADAR	Lymph-BNHL	0.00	0.12	1.08	0.504	0.516	-	-	-	-	-	0.00	0.12	1.08	0.504	0.522
TCHH	ENSG00000159450	OMIM	AR	Lymph-BNHL	0.00	0.16	0.76	0.633	0.641	-	-	-	-	-	0.00	0.16	0.76	0.633	0.646
TCL1A	ENSG00000100721	SOD	Not OMIM	Lymph-BNHL	0.00	0.12	1.08	0.504	0.516	-	-	-	-	-	0.00	0.12	1.08	0.504	0.522
TET2	ENSG00000168769	OMIM	Other	Lymph-BNHL	1.87	0.12	2.70	0.015	0.030	-	-	-	-	-	1.87	0.12	2.70	0.015	0.030
TEX15	ENSG00000133863	OMIM	AR	Lymph-BNHL	0.00	0.20	0.49	0.752	0.757	-	-	-	-	-	0.00	0.20	0.49	0.752	0.760
TF	ENSG00000091513	OMIM	AR	Lymph-BNHL	-	-	-	-	-	1.87	0.36	1.36	0.156	0.255	1.87	0.36	1.36	0.156	0.257
TGFBI	ENSG00000120708	OMIM	AD	Lymph-BNHL	-	-	-	-	-	0.00	0.16	0.76	0.633	0.650	0.00	0.16	0.76	0.633	0.646
TGM1	ENSG00000092295	OMIM	AR	Lymph-BNHL	-	-	-	-	-	0.00	0.24	0.27	0.862	0.865	0.00	0.24	0.27	0.862	0.865
TGM5	ENSG00000104055	OMIM	AR	Lymph-BNHL	-	-	-	-	-	0.93	0.16	1.77	0.145	0.238	0.93	0.16	1.77	0.145	0.239
TMEM8C	ENSG00000187616	OMIM	AR	Lymph-BNHL	-	-	-	-	-	0.00	0.24	0.27	0.862	0.865	0.00	0.24	0.27	0.862	0.865
TMPRSS3	ENSG00000160183	OMIM	AR	Lymph-BNHL	-	-	-	-	-	0.00	0.20	0.49	0.752	0.761	0.00	0.20	0.49	0.752	0.760
TMPRSS6	ENSG00000187045	OMIM	AR	Lymph-BNHL	-	-	-	-	-	0.00	0.12	1.08	0.504	0.527	0.00	0.12	1.08	0.504	0.522
TNNI3K	ENSG00000116783	OMIM	AD	Lymph-BNHL	1.87	0.12	2.70	0.015	0.030	-	-	-	-	-	1.87	0.12	2.70	0.015	0.030
TPO	ENSG00000115705	OMIM	AR	Lymph-BNHL	-	-	-	-	-	0.00	0.12	1.08	0.504	0.527	0.00	0.20	0.49	0.752	0.760
TREM2	ENSG00000095970	OMIM	Other	Lymph-BNHL	-	-	-	-	-	-	-	-	-	-	0.00	0.12	1.08	0.504	0.522
TRIOBP	ENSG00000100106	OMIM	AR	Lymph-BNHL	0.93	0.08	2.51	0.058	0.097	-	-	-	-	-	0.93	0.08	2.51	0.058	0.097
TRPM1	ENSG00000134160	OMIM	AR	Lymph-BNHL	-	-	-	-	-	-	-	-	-	-	0.00	0.12	1.08	0.504	0.522
TRPM4	ENSG00000130529	OMIM	AD	Lymph-BNHL	1.87	0.08	3.11	0.009	0.017	-	-	-	-	-	1.87	0.08	3.11	0.009	0.017
TSPEAR	ENSG00000175894	OMIM	AR	Lymph-BNHL	0.00	0.24	0.27	0.862	0.865	-	-	-	-	-	0.00	0.24	0.27	0.862	0.865
TUBB3	ENSG00000198211	OMIM	AD	Lymph-BNHL	2.80	0.28	2.12	0.018	0.036	-	-	-	-	-	2.80	0.28	2.12	0.018	0.035
TYR	ENSG00000077498	OMIM	AD	Lymph-BNHL	-	-	-	-	-	0.00	0.20	0.49	0.752	0.761	0.00	0.24	0.27	0.862	0.865
UGT2B17	ENSG00000197888	OMIM	Other	Lymph-BNHL	0.00	0.16	0.76	0.633	0.641	-	-	-	-	-	0.00	0.16	0.76	0.633	0.646
UNC80	ENSG00000144406	OMIM	AR	Lymph-BNHL	-	-	-	-	-	0.93	0.12	2.10	0.096	0.159	0.93	0.12	2.10	0.096	0.159
USH2A	ENSG00000042781	OMIM	AR	Lymph-BNHL	0.00	0.12	1.08	0.504	0.516	0.00	0.12	1.08	0.504	0.527	0.00	0.20	0.49	0.752	0.760
USP45	ENSG00000123552	OMIM	AR	Lymph-BNHL	0.00	0.56	-0.84	0.573	0.587	-	-	-	-	-	0.00	0.56	-0.84	0.573	0.594
VWF	ENSG00000110799	OMIM	ADAR	Lymph-BNHL	-	-	-	-	-	-	-	-	-	-	0.00	0.12	1.08	0.504	0.522
XBP1	ENSG00000100219	OMIM	Other	Lymph-BNHL	0.00	0.20	0.49	0.752	0.757	-	-	-	-	-	0.00	0.20	0.49	0.752	0.760
XIRP2	ENSG00000163092	SOD	Not OMIM	Lymph-BNHL	0.93	0.08	2.51	0.058	0.097	-	-	-	-	-	0.93	0.08	2.51	0.058	0.097
ABCA3	ENSG00000167972	OMIM	AR	Ovary-AdenoCA	-	-	-	-	-	1.77	0.16	2.43	0.022	0.039	1.77	0.16	2.43	0.022	0.039
ABCA4	ENSG00000198691	OMIM	AR	Ovary-AdenoCA	-	-	-	-	-	0.00	0.36	-0.19	0.900	0.902	0.00	0.36	-0.19	0.900	0.903
ABCA7	ENSG00000064687	OMIM	AD	Ovary-AdenoCA	0.00	0.28	0.13	0.930	0.931	-	-	-	-	-	0.00	0.28	0.13	0.930	0.931
ABCB6	ENSG00000115657	OMIM	AD	Ovary-AdenoCA	-	-	-	-	-	-	-	-	-	-	0.00	0.12	1.14	0.481	0.499
ABCC11	ENSG00000121270	OMIM	AD	Ovary-AdenoCA	0.00	0.12	1.14	0.481	0.494	-	-	-	-	-	0.00	0.12	1.14	0.481	0.499
ABCC6	ENSG00000091262	OMIM	AR	Ovary-AdenoCA	0.00	0.16	0.82	0.607	0.615	0.00	0.24	0.33	0.832	0.837	0.00	0.28	0.13	0.930	0.931
ABCG2	ENSG00000118777	OMIM	AD	Ovary-AdenoCA	0.00	0.16	0.82	0.607	0.615	-	-	-	-	-	0.00	0.16	0.82	0.607	0.620
ACADVL	ENSG00000072778	OMIM	AR	Ovary-AdenoCA	-	-	-	-	-	0.88	0.08	2.57	0.052	0.086	0.88	0.08	2.57	0.052	0.086
ACSL3	ENSG00000123983	SOD	Not OMIM	Ovary-AdenoCA	0.00	0.12	1.14	0.481	0.494	-	-	-	-	-	0.00	0.12	1.14	0.481	0.499
ACSM3	ENSG00000005187	OMIM	Other	Ovary-AdenoCA	0.00	0.12	1.14	0.481	0.494	-	-	-	-	-	0.00	0.12	1.14	0.481	0.499
ADAM10	ENSG00000137845	OMIM	AD	Ovary-AdenoCA	-	-	-	-	-	0.00	0.24	0.33	0.832	0.837	0.00	0.24	0.33	0.832	0.837
ADAMTS13	ENSG00000160323	OMIM	AR	Ovary-AdenoCA	-	-	-	-	-	0.00	0.16	0.82	0.607	0.624	0.00	0.16	0.82	0.607	0.620
ADAMTSL4	ENSG00000143382	OMIM	AR	Ovary-AdenoCA	0.88	0.12	2.16	0.087	0.141	0.88	0.12	2.16	0.087	0.141	0.88	0.12	2.16	0.087	0.142
AGBL1	ENSG00000166748	OMIM	AD	Ovary-AdenoCA	0.00	0.16	0.82	0.607	0.615	-	-	-	-	-	0.00	0.16	0.82	0.607	0.620
AK7	ENSG00000140057	OMIM	AR	Ovary-AdenoCA	-	-	-	-	-	0.00	0.16	0.82	0.607	0.624	0.00	0.16	0.82	0.607	0.620
ALDOB	ENSG00000136872	OMIM	AR	Ovary-AdenoCA	-	-	-	-	-	1.77	0.48	1.04	0.267	0.308	1.77	0.48	1.04	0.267	0.305
ALKBH8	ENSG00000137760	OMIM	AR	Ovary-AdenoCA	0.00	0.12	1.14	0.481	0.494	-	-	-	-	-	0.00	0.12	1.14	0.481	0.499
ALOXE3	ENSG00000179148	OMIM	AR	Ovary-AdenoCA	-	-	-	-	-	0.88	0.08	2.57	0.052	0.086	0.88	0.08	2.57	0.052	0.086
ANO5	ENSG00000171714	OMIM	AR	Ovary-AdenoCA	-	-	-	-	-	0.00	0.12	1.14	0.481	0.501	0.00	0.12	1.14	0.481	0.499
APOC2	ENSG00000234906	OMIM	AR	Ovary-AdenoCA	-	-	-	-	-	0.88	0.08	2.57	0.052	0.086	0.88	0.08	2.57	0.052	0.086
ASB10	ENSG00000146926	OMIM	Other	Ovary-AdenoCA	-	-	-	-	-	1.77	0.28	1.75	0.077	0.126	1.77	0.28	1.75	0.077	0.127
ATM	ENSG00000149311	CPG	Not OMIM	Ovary-AdenoCA	0.00	0.12	1.14	0.481	0.494	-	-	-	-	-	0.00	0.12	1.14	0.481	0.499
AURKC	ENSG00000105146	OMIM	AR	Ovary-AdenoCA	1.77	0.08	3.17	0.008	0.015	-	-	-	-	-	1.77	0.08	3.17	0.008	0.015
BBS1	ENSG00000174483	OMIM	AR	Ovary-AdenoCA	-	-	-	-	-	1.77	0.24	1.94	0.054	0.088	1.77	0.24	1.94	0.054	0.089
BCHE	ENSG00000114200	OMIM	Other	Ovary-AdenoCA	-	-	-	-	-	0.00	0.20	0.55	0.724	0.735	0.00	0.20	0.55	0.724	0.733
BCMO1	ENSG00000135697	OMIM	AD	Ovary-AdenoCA	-	-	-	-	-	0.88	0.08	2.57	0.052	0.086	0.88	0.08	2.57	0.052	0.086
BRCA1	ENSG00000012048	CPG	Not OMIM	Ovary-AdenoCA	9.73	0.00	6.91	0.000	0.000	9.73	0.00	6.91	0.000	0.000	9.73	0.00	6.91	0.000	0.000
BRCA2	ENSG00000139618	CPG	Not OMIM	Ovary-AdenoCA	-	-	-	-	-	1.77	0.04	3.76	0.005	0.009	1.77	0.04	3.76	0.005	0.009
C7	ENSG00000112936	OMIM	Other	Ovary-AdenoCA	-	-	-	-	-	0.88	0.20	1.57	0.187	0.262	1.77	0.20	2.17	0.036	0.060
C8B	ENSG00000021852	OMIM	AR	Ovary-AdenoCA	0.88	0.16	1.83	0.132	0.214	0.88	0.16	1.83	0.132	0.211	0.88	0.16	1.83	0.132	0.214
CAPN3	ENSG00000092529	OMIM	ADAR	Ovary-AdenoCA	-	-	-	-	-	0.88	0.12	2.16	0.087	0.141	0.88	0.12	2.16	0.087	0.142
CBS	ENSG00000160200	OMIM	AR	Ovary-AdenoCA	-	-	-	-	-	0.00	0.16	0.82	0.607	0.624	0.00	0.16	0.82	0.607	0.620
CCDC73	ENSG00000186714	SOD	Not OMIM	Ovary-AdenoCA	0.00	0.16	0.82	0.607	0.615	-	-	-	-	-	0.00	0.16	0.82	0.607	0.620
CCT5	ENSG00000150753	OMIM	AR	Ovary-AdenoCA	-	-	-	-	-	0.00	0.12	1.14	0.481	0.501	0.00	0.12	1.14	0.481	0.499
CDAN1	ENSG00000140326	OMIM	AR	Ovary-AdenoCA	-	-	-	-	-	1.77	0.04	3.76	0.005	0.009	1.77	0.04	3.76	0.005	0.009
CENPF	ENSG00000117724	OMIM	AR	Ovary-AdenoCA	1.77	0.04	3.76	0.005	0.009	-	-	-	-	-	1.77	0.04	3.76	0.005	0.009
CENPJ	ENSG00000151849	OMIM	AR	Ovary-AdenoCA	-	-	-	-	-	-	-	-	-	-	0.00	0.12	1.14	0.481	0.499
CFHR5	ENSG00000134389	OMIM	AD	Ovary-AdenoCA	2.65	0.08	3.60	0.001	0.002	-	-	-	-	-	2.65	0.08	3.60	0.001	0.002
CFTR	ENSG00000001626	OMIM	ADAR	Ovary-AdenoCA	-	-	-	-	-	0.88	0.12	2.16	0.087	0.141	0.88	0.12	2.16	0.087	0.142
CLCN1	ENSG00000188037	OMIM	ADAR	Ovary-AdenoCA	-	-	-	-	-	0.00	0.12	1.14	0.481	0.501	0.00	0.16	0.82	0.607	0.620
CLTCL1	ENSG00000070371	SOD	Not OMIM	Ovary-AdenoCA	0.00	0.20	0.55	0.724	0.730	-	-	-	-	-	0.00	0.20	0.55	0.724	0.733
CNGA1	ENSG00000198515	OMIM	Other	Ovary-AdenoCA	-	-	-	-	-	0.88	0.16	1.83	0.132	0.211	0.88	0.16	1.83	0.132	0.214
CNGA3	ENSG00000144191	OMIM	AR	Ovary-AdenoCA	-	-	-	-	-	0.88	0.08	2.57	0.052	0.086	0.88	0.12	2.16	0.087	0.142
COASY	ENSG00000068120	OMIM	AR	Ovary-AdenoCA	0.88	0.12	2.16	0.087	0.141	-	-	-	-	-	0.88	0.12	2.16	0.087	0.142
CYP24A1	ENSG00000019186	OMIM	AR	Ovary-AdenoCA	-	-	-	-	-	0.88	0.08	2.57	0.052	0.086	0.88	0.08	2.57	0.052	0.086
DDX41	ENSG00000183258	OMIM	AD	Ovary-AdenoCA	0.00	0.12	1.14	0.481	0.494	-	-	-	-	-	0.88	0.12	2.16	0.087	0.142
DHODH	ENSG00000102967	OMIM	AR	Ovary-AdenoCA	-	-	-	-	-	-	-	-	-	-	0.88	0.08	2.57	0.052	0.086
DMGDH	ENSG00000132837	OMIM	AR	Ovary-AdenoCA	0.88	0.12	2.16	0.087	0.141	-	-	-	-	-	0.88	0.12	2.16	0.087	0.142
DNAH1	ENSG00000114841	OMIM	AR	Ovary-AdenoCA	-	-	-	-	-	0.00	0.28	0.13	0.930	0.930	0.88	0.28	1.15	0.318	0.363
DNAH9	ENSG00000007174	OMIM	AR	Ovary-AdenoCA	0.00	0.16	0.82	0.607	0.615	-	-	-	-	-	0.00	0.16	0.82	0.607	0.620
DYSF	ENSG00000135636	OMIM	AR	Ovary-AdenoCA	-	-	-	-	-	-	-	-	-	-	0.00	0.12	1.14	0.481	0.499
ECT2L	ENSG00000203734	SOD	Not OMIM	Ovary-AdenoCA	0.00	0.44	-0.46	0.762	0.767	-	-	-	-	-	0.00	0.44	-0.46	0.762	0.771
EIF2B5	ENSG00000145191	OMIM	AR	Ovary-AdenoCA	-	-	-	-	-	0.00	0.12	1.14	0.481	0.501	0.00	0.12	1.14	0.481	0.499
EPX	ENSG00000121053	OMIM	AR	Ovary-AdenoCA	0.00	0.12	1.14	0.481	0.494	-	-	-	-	-	0.00	0.12	1.14	0.481	0.499
ERCC2	ENSG00000104884	SOD	Not OMIM	Ovary-AdenoCA	-	-	-	-	-	-	-	-	-	-	0.88	0.08	2.57	0.052	0.086
EYS	ENSG00000188107	OMIM	AR	Ovary-AdenoCA	0.88	0.08	2.57	0.052	0.086	-	-	-	-	-	0.88	0.08	2.57	0.052	0.086
F2	ENSG00000180210	OMIM	ADAR	Ovary-AdenoCA	-	-	-	-	-	1.77	0.08	3.17	0.008	0.015	1.77	0.08	3.17	0.008	0.015
FANCM	ENSG00000187790	CPG	Not OMIM	Ovary-AdenoCA	0.00	0.12	1.14	0.481	0.494	-	-	-	-	-	0.00	0.12	1.14	0.481	0.499
FGG	ENSG00000171557	OMIM	AR	Ovary-AdenoCA	-	-	-	-	-	3.54	0.76	1.18	0.112	0.180	3.54	0.76	1.18	0.112	0.182
FIG4	ENSG00000112367	OMIM	AR	Ovary-AdenoCA	-	-	-	-	-	0.00	0.16	0.82	0.607	0.624	0.00	0.16	0.82	0.607	0.620
FKBP14	ENSG00000106080	OMIM	AR	Ovary-AdenoCA	0.00	0.20	0.55	0.724	0.730	0.00	0.20	0.55	0.724	0.735	0.00	0.20	0.55	0.724	0.733
FKRP	ENSG00000181027	OMIM	AR	Ovary-AdenoCA	-	-	-	-	-	0.00	0.12	1.14	0.481	0.501	0.00	0.12	1.14	0.481	0.499
FLG	ENSG00000143631	OMIM	AD	Ovary-AdenoCA	0.88	0.20	1.57	0.187	0.252	-	-	-	-	-	0.88	0.20	1.57	0.187	0.259
FOXE1	ENSG00000178919	OMIM	ADAR	Ovary-AdenoCA	-	-	-	-	-	-	-	-	-	-	0.00	0.12	1.14	0.481	0.499
FUK	ENSG00000157353	OMIM	AR	Ovary-AdenoCA	-	-	-	-	-	-	-	-	-	-	0.00	0.12	1.14	0.481	0.499
GAA	ENSG00000171298	OMIM	AR	Ovary-AdenoCA	-	-	-	-	-	0.00	0.12	1.14	0.481	0.501	0.00	0.12	1.14	0.481	0.499
GALNS	ENSG00000141012	OMIM	AR	Ovary-AdenoCA	-	-	-	-	-	0.00	0.24	0.33	0.832	0.837	0.00	0.24	0.33	0.832	0.837
GAS2L2	ENSG00000132139	OMIM	AR	Ovary-AdenoCA	-	-	-	-	-	0.00	0.12	1.14	0.481	0.501	0.00	0.12	1.14	0.481	0.499
GCKR	ENSG00000084734	OMIM	Other	Ovary-AdenoCA	1.77	0.12	2.76	0.013	0.026	-	-	-	-	-	1.77	0.12	2.76	0.013	0.026
GFM1	ENSG00000168827	OMIM	AR	Ovary-AdenoCA	-	-	-	-	-	-	-	-	-	-	1.77	0.04	3.76	0.005	0.009
GJB2	ENSG00000165474	CPG	Not OMIM	Ovary-AdenoCA	-	-	-	-	-	1.77	0.20	2.17	0.036	0.060	1.77	0.20	2.17	0.036	0.060
GLB1	ENSG00000170266	OMIM	AR	Ovary-AdenoCA	-	-	-	-	-	0.88	0.16	1.83	0.132	0.211	0.88	0.16	1.83	0.132	0.214
GPR68	ENSG00000119714	OMIM	AR	Ovary-AdenoCA	0.00	0.12	1.14	0.481	0.494	-	-	-	-	-	0.00	0.12	1.14	0.481	0.499
GUCA1B	ENSG00000112599	OMIM	Other	Ovary-AdenoCA	0.00	0.16	0.82	0.607	0.615	-	-	-	-	-	0.00	0.16	0.82	0.607	0.620
GYG1	ENSG00000163754	OMIM	AR	Ovary-AdenoCA	-	-	-	-	-	0.88	0.08	2.57	0.052	0.086	0.88	0.12	2.16	0.087	0.142
HAL	ENSG00000084110	OMIM	ADAR	Ovary-AdenoCA	0.00	0.20	0.55	0.724	0.730	-	-	-	-	-	0.00	0.20	0.55	0.724	0.733
HGD	ENSG00000113924	OMIM	AR	Ovary-AdenoCA	-	-	-	-	-	0.00	0.24	0.33	0.832	0.837	0.00	0.24	0.33	0.832	0.837
HLA-C	ENSG00000204525	OMIM	Other	Ovary-AdenoCA	0.88	0.16	1.83	0.132	0.214	-	-	-	-	-	0.88	0.16	1.83	0.132	0.214
HPS1	ENSG00000107521	OMIM	AR	Ovary-AdenoCA	-	-	-	-	-	0.00	0.12	1.14	0.481	0.501	0.00	0.12	1.14	0.481	0.499
HTRA1	ENSG00000166033	OMIM	ADAR	Ovary-AdenoCA	0.00	0.16	0.82	0.607	0.615	-	-	-	-	-	0.00	0.16	0.82	0.607	0.620
HYDIN	ENSG00000157423	OMIM	AR	Ovary-AdenoCA	0.00	0.12	1.14	0.481	0.494	-	-	-	-	-	0.00	0.12	1.14	0.481	0.499
IGF2	ENSG00000167244	OMIM	AD	Ovary-AdenoCA	0.88	0.16	1.83	0.132	0.214	-	-	-	-	-	0.88	0.16	1.83	0.132	0.214
IYD	ENSG00000009765	OMIM	AR	Ovary-AdenoCA	-	-	-	-	-	0.88	0.08	2.57	0.052	0.086	0.88	0.08	2.57	0.052	0.086
KANK1	ENSG00000107104	OMIM	Other	Ovary-AdenoCA	0.00	0.12	1.14	0.481	0.494	-	-	-	-	-	0.00	0.12	1.14	0.481	0.499
KIAA0586	ENSG00000100578	OMIM	AR	Ovary-AdenoCA	0.00	0.24	0.33	0.832	0.835	0.00	0.20	0.55	0.724	0.735	0.00	0.24	0.33	0.832	0.837
KLHL6	ENSG00000172578	SOD	Not OMIM	Ovary-AdenoCA	0.00	0.12	1.14	0.481	0.494	-	-	-	-	-	0.00	0.12	1.14	0.481	0.499
KRT4	ENSG00000170477	OMIM	AD	Ovary-AdenoCA	0.00	0.12	1.14	0.481	0.494	-	-	-	-	-	0.00	0.12	1.14	0.481	0.499
LARS2	ENSG00000011376	OMIM	AR	Ovary-AdenoCA	-	-	-	-	-	0.88	0.08	2.57	0.052	0.086	0.88	0.12	2.16	0.087	0.142
LDLR	ENSG00000130164	OMIM	AD	Ovary-AdenoCA	0.88	0.08	2.57	0.052	0.086	0.88	0.28	1.15	0.318	0.367	0.88	0.28	1.15	0.318	0.363
LEPR	ENSG00000116678	OMIM	AR	Ovary-AdenoCA	-	-	-	-	-	0.00	0.16	0.82	0.607	0.624	0.00	0.16	0.82	0.607	0.620
LIPA	ENSG00000107798	OMIM	AR	Ovary-AdenoCA	-	-	-	-	-	0.88	0.08	2.57	0.052	0.086	0.88	0.08	2.57	0.052	0.086
LIPT1	ENSG00000144182	OMIM	AR	Ovary-AdenoCA	-	-	-	-	-	0.00	0.12	1.14	0.481	0.501	0.00	0.12	1.14	0.481	0.499
LRIG2	ENSG00000198799	OMIM	AR	Ovary-AdenoCA	0.00	0.24	0.33	0.832	0.835	-	-	-	-	-	0.00	0.24	0.33	0.832	0.837
LRP2	ENSG00000081479	OMIM	AR	Ovary-AdenoCA	-	-	-	-	-	-	-	-	-	-	0.00	0.12	1.14	0.481	0.499
LRRK2	ENSG00000188906	OMIM	AD	Ovary-AdenoCA	-	-	-	-	-	-	-	-	-	-	0.88	0.08	2.57	0.052	0.086
LY75-CD302	ENSG00000248672	SOD	Not OMIM	Ovary-AdenoCA	0.00	0.24	0.33	0.832	0.835	-	-	-	-	-	0.00	0.24	0.33	0.832	0.837
MACC1	ENSG00000183742	SOD	Not OMIM	Ovary-AdenoCA	0.00	0.12	1.14	0.481	0.494	-	-	-	-	-	0.00	0.12	1.14	0.481	0.499
MC1R	ENSG00000258839	OMIM	AR	Ovary-AdenoCA	0.88	0.28	1.15	0.318	0.353	-	-	-	-	-	0.88	0.28	1.15	0.318	0.363
MC4R	ENSG00000166603	OMIM	ADAR	Ovary-AdenoCA	-	-	-	-	-	0.00	0.12	1.14	0.481	0.501	0.00	0.12	1.14	0.481	0.499
MEF2A	ENSG00000068305	OMIM	AD	Ovary-AdenoCA	-	-	-	-	-	0.00	0.16	0.82	0.607	0.624	0.00	0.16	0.82	0.607	0.620
MLH3	ENSG00000119684	OMIM	AD	Ovary-AdenoCA	0.00	0.12	1.14	0.481	0.494	-	-	-	-	-	0.00	0.12	1.14	0.481	0.499
MMACHC	ENSG00000132763	OMIM	AR	Ovary-AdenoCA	0.00	0.20	0.55	0.724	0.730	-	-	-	-	-	0.00	0.28	0.13	0.930	0.931
MMP1	ENSG00000196611	OMIM	AR	Ovary-AdenoCA	0.88	0.08	2.57	0.052	0.086	-	-	-	-	-	0.88	0.08	2.57	0.052	0.086
MPO	ENSG00000005381	OMIM	ADAR	Ovary-AdenoCA	1.77	0.20	2.17	0.036	0.059	1.77	0.28	1.75	0.077	0.126	1.77	0.32	1.58	0.105	0.172
MUT	ENSG00000146085	OMIM	AR	Ovary-AdenoCA	-	-	-	-	-	0.88	0.16	1.83	0.132	0.211	0.88	0.16	1.83	0.132	0.214
MUTYH	ENSG00000132781	CPG	Not OMIM	Ovary-AdenoCA	-	-	-	-	-	0.88	0.56	0.23	0.834	0.838	0.88	0.56	0.23	0.834	0.838
MYO15A	ENSG00000091536	OMIM	AR	Ovary-AdenoCA	-	-	-	-	-	0.00	0.12	1.14	0.481	0.501	0.00	0.12	1.14	0.481	0.499
MYOC	ENSG00000034971	OMIM	AD	Ovary-AdenoCA	0.88	0.12	2.16	0.087	0.141	0.00	0.12	1.14	0.481	0.501	0.88	0.16	1.83	0.132	0.214
NDUFB3	ENSG00000119013	OMIM	AR	Ovary-AdenoCA	-	-	-	-	-	1.77	0.04	3.76	0.005	0.009	1.77	0.04	3.76	0.005	0.009
NEB	ENSG00000183091	OMIM	AR	Ovary-AdenoCA	-	-	-	-	-	0.00	0.12	1.14	0.481	0.501	0.00	0.12	1.14	0.481	0.499
NPFFR2	ENSG00000056291	SOD	Not OMIM	Ovary-AdenoCA	0.00	0.12	1.14	0.481	0.494	-	-	-	-	-	0.00	0.12	1.14	0.481	0.499
NPHS1	ENSG00000161270	OMIM	AR	Ovary-AdenoCA	-	-	-	-	-	0.88	0.08	2.57	0.052	0.086	0.88	0.08	2.57	0.052	0.086
NUP93	ENSG00000102900	OMIM	AR	Ovary-AdenoCA	-	-	-	-	-	-	-	-	-	-	0.00	0.12	1.14	0.481	0.499
OSGEP	ENSG00000092094	OMIM	AR	Ovary-AdenoCA	-	-	-	-	-	-	-	-	-	-	0.88	0.08	2.57	0.052	0.086
PAH	ENSG00000171759	OMIM	AR	Ovary-AdenoCA	-	-	-	-	-	3.54	0.32	2.35	0.004	0.008	3.54	0.32	2.35	0.004	0.008
PARS2	ENSG00000162396	OMIM	AR	Ovary-AdenoCA	-	-	-	-	-	0.00	0.20	0.55	0.724	0.735	0.00	0.20	0.55	0.724	0.733
PCK2	ENSG00000100889	OMIM	AR	Ovary-AdenoCA	0.00	0.32	-0.04	0.981	0.981	-	-	-	-	-	0.00	0.32	-0.04	0.981	0.981
PCNT	ENSG00000160299	OMIM	AR	Ovary-AdenoCA	0.00	0.20	0.55	0.724	0.730	0.00	0.16	0.82	0.607	0.624	0.00	0.20	0.55	0.724	0.733
PDCD2L	ENSG00000126249	SOD	Not OMIM	Ovary-AdenoCA	0.00	0.24	0.33	0.832	0.835	-	-	-	-	-	0.00	0.24	0.33	0.832	0.837
PDE11A	ENSG00000128655	OMIM	AD	Ovary-AdenoCA	0.88	0.48	0.44	0.691	0.700	0.88	0.08	2.57	0.052	0.086	0.88	0.48	0.44	0.691	0.705
PKHD1	ENSG00000170927	OMIM	AR	Ovary-AdenoCA	-	-	-	-	-	0.88	0.08	2.57	0.052	0.086	0.88	0.08	2.57	0.052	0.086
PKHD1L1	ENSG00000205038	SOD	Not OMIM	Ovary-AdenoCA	0.00	0.28	0.13	0.930	0.931	-	-	-	-	-	0.00	0.28	0.13	0.930	0.931
PMFBP1	ENSG00000118557	OMIM	AR	Ovary-AdenoCA	0.00	0.16	0.82	0.607	0.615	-	-	-	-	-	0.00	0.16	0.82	0.607	0.620
PMM2	ENSG00000140650	OMIM	AR	Ovary-AdenoCA	-	-	-	-	-	0.00	0.12	1.14	0.481	0.501	0.00	0.16	0.82	0.607	0.620
POLQ	ENSG00000051341	SOD	Not OMIM	Ovary-AdenoCA	0.00	0.16	0.82	0.607	0.615	-	-	-	-	-	0.00	0.16	0.82	0.607	0.620
PPA2	ENSG00000138777	OMIM	AR	Ovary-AdenoCA	-	-	-	-	-	0.00	0.20	0.55	0.724	0.735	0.00	0.20	0.55	0.724	0.733
PRDM6	ENSG00000061455	OMIM	AD	Ovary-AdenoCA	0.00	0.12	1.14	0.481	0.494	-	-	-	-	-	0.00	0.12	1.14	0.481	0.499
PRSS12	ENSG00000164099	OMIM	AR	Ovary-AdenoCA	0.00	0.12	1.14	0.481	0.494	-	-	-	-	-	0.00	0.12	1.14	0.481	0.499
PRSS56	ENSG00000237412	OMIM	AR	Ovary-AdenoCA	-	-	-	-	-	0.00	0.36	-0.19	0.900	0.902	0.00	0.36	-0.19	0.900	0.903
